,num_nodes,num_channels,total_capacity,date
0,33.0,22954.0,3657.43060184,2022-09-01
1,33.0,22973.0,3657.05496357,2022-09-03
2,33.0,23155.0,3687.04810808,2022-09-04
3,34.0,23396.0,3756.439926560001,2022-09-05
4,34.0,23405.0,3747.63008612,2022-09-06
5,34.0,23457.0,3780.57933923,2022-09-07
6,34.0,23507.0,3798.14296811,2022-09-08
7,34.0,23501.0,3820.90539427,2022-09-09
8,34.0,23516.0,3875.82370807,2022-09-10
9,34.0,23568.0,3902.28715236,2022-09-11
10,34.0,23619.0,3910.312650880001,2022-09-12
11,34.0,23669.0,3924.73096052,2022-09-13
12,34.0,23721.0,3936.22825914,2022-09-14
13,34.0,23822.0,3965.095090969999,2022-09-15
14,32.0,21965.0,3904.84857747,2022-09-16
15,32.0,21986.0,3934.38414876,2022-09-17
16,31.0,21824.0,3888.99811714,2022-09-18
17,31.0,21875.0,3899.88613539,2022-09-19
18,31.0,21939.0,3921.33450262,2022-09-20
19,31.0,22018.0,3947.12315917,2022-09-21
20,31.0,22075.0,3937.88495219,2022-09-22
21,31.0,22081.0,3940.277619079999,2022-09-23
22,31.0,22070.0,3949.43863472,2022-09-24
23,30.0,21799.0,3938.14257633,2022-09-25
24,30.0,21772.0,3953.23289964,2022-09-26
25,30.0,21805.0,3989.79496093,2022-09-27
26,30.0,21905.0,3997.11586401,2022-09-28
27,29.0,21761.0,3986.495718489999,2022-09-29
28,29.0,21774.0,4010.26270449,2022-09-30
29,29.0,21907.0,4082.89371352,2022-10-04
30,29.0,21958.0,4109.24758299,2022-10-05
31,29.0,21993.0,4125.36774137,2022-10-06
32,29.0,21803.0,4016.69152614,2022-10-07
33,29.0,21848.0,4061.27509933,2022-10-08
34,29.0,21870.0,4084.12441926,2022-10-09
35,29.0,21763.0,4057.75900453,2022-10-10
36,29.0,21769.0,4075.04822132,2022-10-11
37,30.0,22110.0,4149.63067474,2022-10-12
38,31.0,22347.0,4181.326900510001,2022-10-13
39,32.0,22667.0,4236.22641024,2022-10-14
40,32.0,22708.0,4276.23982168,2022-10-15
41,32.0,22791.0,4320.52404435,2022-10-16
42,32.0,22739.0,4316.82710717,2022-10-17
43,32.0,22828.0,4349.03785144,2022-10-18
44,31.0,22313.0,4286.952289829999,2022-10-19
45,30.0,21799.0,4241.52650601,2022-10-20
46,30.0,21869.0,4262.01314171,2022-10-21
47,30.0,21983.0,4306.99187166,2022-10-22
48,30.0,22013.0,4313.298147609999,2022-10-23
49,30.0,22051.0,4325.634923770001,2022-10-24
50,30.0,22008.0,4367.65302041,2022-10-25
51,31.0,22028.0,4406.1678237,2022-10-26
52,31.0,21877.0,4408.76100224,2022-10-27
53,31.0,21753.0,4454.376689299999,2022-10-28
54,33.0,21301.0,4497.337769459999,2022-10-29
55,32.0,20620.0,4462.81327221,2022-10-30
56,32.0,20707.0,4496.432622779999,2022-10-31
57,32.0,20743.0,4493.67016846,2022-11-01
58,32.0,20721.0,4522.53314062,2022-11-02
59,31.0,20654.0,4463.22787044,2022-11-03
60,31.0,20502.0,4435.772551629999,2022-11-04
61,31.0,20442.0,4426.49392816,2022-11-05
62,31.0,20500.0,4479.71305028,2022-11-06
63,31.0,20494.0,4492.89525022,2022-11-07
64,31.0,20535.0,4499.22705358,2022-11-08
65,31.0,20435.0,4469.3137689000005,2022-11-09
66,31.0,20420.0,4466.059065740001,2022-11-10
